codigo,fecha,hora,tipo,metodo,etiqueta,descripcion,ars,usd,pen,blue,lat,lon
20260723-01,2026-07-23,10:07,pago,efectivo,comida,Café en Báez (Las Cañitas),13400,8.73,29.69,1535,-34.569145,-58.436337
20260723-02,2026-07-23,15:19,pago,efectivo,comida,Choripanes,38000,24.68,83.94,1540,-34.564484,-58.418842
