codigo,fecha,hora,tipo,metodo,etiqueta,descripcion,ars,usd,pen,blue,lat,lon
20260730-01,2026-07-30,13:35,pago,efectivo,comida,,45000,29.13,99.02,1545,-34.578983,-58.432333
20260730-02,2026-07-30,13:36,pago,efectivo,comida,,14500,9.39,31.92,1545,-34.578983,-58.432333
