codigo,fecha,hora,tipo,metodo,etiqueta,descripcion,ars,usd,pen,blue,lat,lon
20260726-01,2026-07-26,13:35,pago,efectivo,comida,,24500,16.07,54.68,1525,-34.662536,-58.500061
20260726-02,2026-07-26,14:02,pago,efectivo,comida,,5000,3.28,11.16,1525,-34.663089,-58.49949
20260726-03,2026-07-26,16:46,pago,efectivo,comida,,19000,12.46,42.40,1525,-34.59016,-58.428408
