codigo,fecha,hora,tipo,metodo,etiqueta,descripcion,ars,usd,pen,blue,lat,lon
20260725-01,2026-07-25,09:29,pago,efectivo,comida,,2800,1.84,6.26,1525,-34.571425,-58.432301
20260725-02,2026-07-25,18:23,pago,efectivo,comida,,12900,8.46,28.79,1525,-34.601224,-58.404729
20260725-03,2026-07-25,18:23,pago,efectivo,comida,,2000,1.31,4.46,1525,-34.601224,-58.404729
